id_registro,empresa,departamento,produto_original,produto_normalizado,codigo_produto,codigo_valido,quantidade,unidade,quantidade_base,unidade_base,embalagem_original,preco,preco_publico,pagina_catalogo,data_referencia,metodo_extracao,qualidade_extracao,status_validacao,link_produto,fonte
1,Milk Distribuidora,Catálogo geral,BLUEBERRY,BLUEBERRY,02,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
2,Milk Distribuidora,Catálogo geral,BAUNILHA,BAUNILHA,109,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
3,Milk Distribuidora,Catálogo geral,FRUTAS TROPICAIS,FRUTAS TROPICAIS,112,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
4,Milk Distribuidora,Catálogo geral,QUEIJO,QUEIJO,114,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
5,Milk Distribuidora,Catálogo geral,COOKIE LEITINHO,COOKIE LEITINHO,115,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
6,Milk Distribuidora,Catálogo geral,TAPIOCA,TAPIOCA,116,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
7,Milk Distribuidora,Catálogo geral,CHICLETE,CHICLETE,127,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
8,Milk Distribuidora,Catálogo geral,MORANGO,MORANGO,128,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
9,Milk Distribuidora,Catálogo geral,STARGEL 20KG,STARGEL 20KG,130,Sim,20.0,KG,20000.0,G,20.0 KG,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Pronto para comparar,,dados\catalogos\catalogo_milk_2022.pdf
10,Milk Distribuidora,Catálogo geral,CHOCOLATE BELGA,CHOCOLATE BELGA,131,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
11,Milk Distribuidora,Catálogo geral,LEITINHO,LEITINHO,132,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
12,Milk Distribuidora,Catálogo geral,PUDIM,PUDIM,134,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
13,Milk Distribuidora,Catálogo geral,ABACATE,ABACATE,148,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
14,Milk Distribuidora,Catálogo geral,CUPUAÇÚ,CUPUACU,149,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
15,Milk Distribuidora,Catálogo geral,GOIABA,GOIABA,150,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
16,Milk Distribuidora,Catálogo geral,CHOCOLATE PREMIUM,CHOCOLATE PREMIUM,156,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
17,Milk Distribuidora,Catálogo geral,IOGURTE ESPECIAL,IOGURTE ESPECIAL,171,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
18,Milk Distribuidora,Catálogo geral,LEITE CONDENSADO,LEITE CONDENSADO,21,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
19,Milk Distribuidora,Catálogo geral,MORANGO STAR,MORANGO STAR,22,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
