id_milk,produto_milk,codigo_milk,status_milk,id_fortali,produto_fortali,codigo_fortali,status_fortali,quantidade_base,unidade_base,similaridade_percentual,classificacao,equivalencia_confirmada,revisao_humana
76,"GRANULADO CHOCOLATE DORI • 1,010 KG",173,Revisar,3262,"GRANULADO CHOCOLATE DORI 1,010KG",8178,Pronto para comparar,1010.0,G,100.0,Alta,Não,Sim
121,"DOCE DE LEITE PARA CONFEITARIA AUREA 4,5 KG",154,Revisar,760,"DOCE DE LEITE PARA CONFEITARIA AUREA BALDE 4,5KG",20011,Pronto para comparar,4500.0,G,92.31,Alta,Não,Sim
84,BIG CEREAL CROCANTE CHOCOLATE 500 G,123,Revisar,2016,BIG CEREAL CROCANTE CHOCOLATE DECORA 500G,29052,Pronto para comparar,500.0,G,89.23,Alta,Não,Sim
106,"COBERTURA CHIPSHOW CHOCOLATE AO LEITE 2,5 KG",06,Revisar,686,"COB GOTA CHIPSHOW CHOC AO LEITE  2,5KG",17913,Pronto para comparar,2500.0,G,82.35,Média,Não,Sim
84,BIG CEREAL CROCANTE CHOCOLATE 500 G,123,Revisar,2017,BIG CEREAL CROCANTE CHOC BCO DECORA 500G,29053,Pronto para comparar,500.0,G,81.25,Média,Não,Sim
135,"CREME DE GOIABA 4,8 KG",97,Revisar,3074,"CREME DE GOIABA TAMBAÚ 4,8KG",3832,Pronto para comparar,4800.0,G,81.08,Média,Não,Sim
121,"DOCE DE LEITE PARA CONFEITARIA AUREA 4,5 KG",154,Revisar,3050,"DOCE DE LEITE P CONFEITARIA BALDE JUNCO 4,5KG",38225,Pronto para comparar,4500.0,G,80.0,Média,Não,Sim
123,GANACHE AVELÃ MELKEN 1 KG,167,Revisar,402,CREME GANACHE CHOC AVELA MELKEN 1KG,13424,Pronto para comparar,1000.0,G,78.43,Média,Não,Sim
76,"GRANULADO CHOCOLATE DORI • 1,010 KG",173,Revisar,1774,"GRANULADO MACIO CHOCOLATE SICAO 1,01KG",28055,Pronto para comparar,1010.0,G,76.36,Média,Não,Sim
83,MINI CEREAL CROCANTE M BRANCO/PRETO 500 G,122,Revisar,3006,MINI CEREAL CROC BRANCO PRETO CACAU FOODS 500G,37364,Pronto para comparar,500.0,G,76.32,Média,Não,Sim
92,MINI CEREAL CROCANTE P BRANCO/PRETO 500 G,292,Revisar,3006,MINI CEREAL CROC BRANCO PRETO CACAU FOODS 500G,37364,Pronto para comparar,500.0,G,76.32,Média,Não,Sim
81,"DISQUETE CHOCOLATE • 1,010 KG",95,Revisar,384,"DISQUETI CHOC COLOR 1,010KG",12964,Pronto para comparar,1010.0,G,75.68,Média,Não,Sim
118,"DOCE DE SORO DE LEITE TRADICIONAL 4,8 KG",09,Revisar,1612,DOCE SORO DE LEITE ITAPERUNA 4.8KG,26869,Pronto para comparar,4800.0,G,75.41,Média,Não,Sim
123,GANACHE AVELÃ MELKEN 1 KG,167,Revisar,2792,CREME GANACHE CARAMELO MELKEN 1KG,34434,Pronto para comparar,1000.0,G,73.47,Média,Não,Sim
118,"DOCE DE SORO DE LEITE TRADICIONAL 4,8 KG",09,Revisar,761,"DOCE SORO DE LEITE AUREA BALDE 4,8KG",20012,Pronto para comparar,4800.0,G,73.02,Média,Não,Sim
117,"DOCE DE SORO DE LEITE COM CHOC. 9,8KG",04,Revisar,764,"DOCE SORO DE LEITE COM CHOCOLATE AUREA BALDE 9,8KG",20015,Pronto para comparar,9800.0,G,72.97,Média,Não,Sim
117,"DOCE DE SORO DE LEITE COM CHOC. 9,8KG",04,Revisar,1333,DOCE DE SORO DO LEITE COM CHOCOLATE ITAPERUNA BALDE 9.8KG,24968,Pronto para comparar,9800.0,G,71.6,Média,Não,Sim
76,"GRANULADO CHOCOLATE DORI • 1,010 KG",173,Revisar,398,"GRANULADO CROCANTE CHOCOLATE MIL CORES 1,01KG",13263,Pronto para comparar,1010.0,G,70.97,Média,Não,Sim
84,BIG CEREAL CROCANTE CHOCOLATE 500 G,123,Revisar,1820,MINI CEREAL BALL CROC CHOCOLATE DECORA 500G,28552,Pronto para comparar,500.0,G,68.66,Baixa,Não,Sim
92,MINI CEREAL CROCANTE P BRANCO/PRETO 500 G,292,Revisar,2017,BIG CEREAL CROCANTE CHOC BCO DECORA 500G,29053,Pronto para comparar,500.0,G,68.57,Baixa,Não,Sim
83,MINI CEREAL CROCANTE M BRANCO/PRETO 500 G,122,Revisar,2017,BIG CEREAL CROCANTE CHOC BCO DECORA 500G,29053,Pronto para comparar,500.0,G,68.57,Baixa,Não,Sim
122,GANACHE MEIO AMARGO MELKEN 1 KG,166,Revisar,3245,CREME GANACHE DE CHOCOLATE MEIO AMARGO MELKEN POTE 1KG,7290,Pronto para comparar,1000.0,G,68.42,Baixa,Não,Sim
82,GRANULADO TRDICIONAL KERRY • 1 KG,98,Revisar,2500,GRANULADO BRANCO LEKE 1KG,31654,Pronto para comparar,1000.0,G,68.09,Baixa,Não,Sim
134,LEITE CONDENSADO PURELAC 5 KG,282,Revisar,1225,LEITE CONDENSADO CAMPONESA INTEGRAL 5KG,23800,Pronto para comparar,5000.0,G,67.8,Baixa,Não,Sim
118,"DOCE DE SORO DE LEITE TRADICIONAL 4,8 KG",09,Revisar,763,"DOCE DE SORO DE LEITE COM CHOCOLATE AUREA 4,8KG",20014,Pronto para comparar,4800.0,G,67.57,Baixa,Não,Sim
117,"DOCE DE SORO DE LEITE COM CHOC. 9,8KG",04,Revisar,762,"DOCE SORO DE LEITE AUREA BALDE 9,8KG",20013,Pronto para comparar,9800.0,G,66.67,Baixa,Não,Sim
90,BIG CEREAL CHOC. BRANCO 500 G,273,Revisar,2017,BIG CEREAL CROCANTE CHOC BCO DECORA 500G,29053,Pronto para comparar,500.0,G,66.67,Baixa,Não,Sim
123,GANACHE AVELÃ MELKEN 1 KG,167,Revisar,2955,GANACHE 7 BELO MEC3 1KG,37177,Pronto para comparar,1000.0,G,66.67,Baixa,Não,Sim
122,GANACHE MEIO AMARGO MELKEN 1 KG,166,Revisar,402,CREME GANACHE CHOC AVELA MELKEN 1KG,13424,Pronto para comparar,1000.0,G,66.67,Baixa,Não,Sim
93,BIG CEREAL BRANCO/PRETO 500 G,293,Revisar,3006,MINI CEREAL CROC BRANCO PRETO CACAU FOODS 500G,37364,Pronto para comparar,500.0,G,65.62,Baixa,Não,Sim
