empresa,categoria_publica,marca_fornecedor,tipo_registro,nivel_detalhe,url_imagem,data_coleta,fonte
Safra Distribuidora,Food Service,ADELCOCO,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_30_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Food Service,LANCHERO,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_31_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,ADIMIX,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_39_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,BAKELS,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_40_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,CARGILL,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_2_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,DA PROVINCIA,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_3_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,DIKOKO,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_4_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,DORI,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_5_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,GME,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_6_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,GRANDE MOINHO CEARENCE,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_14_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,HARALD,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_8_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,LESAFFRE,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_10_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,MAGO,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_11_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,MIX,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_12_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,NELISUL,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_15_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,NITA,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_38_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,RICHS,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_37_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,VABENE,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_33_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,VIGOR,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_16_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,WILTON,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_17_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,XAMEGO BOM,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_18_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Panificação e Confeitaria,ZETTAPACK,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_19_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,COPOBRAS,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_22_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,DUASRODAS,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_23_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,DUPORTO,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_24_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,ITALIANINHA,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_34_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,JAZAM,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_25_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,MAVALERIO,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_26_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,OVOMALTINE,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_27_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,STERBOM,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_28_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
Safra Distribuidora,Sorveteria,STRAWPLAST,PORTFOLIO_MARCA,MARCA,https://www.distribuidorasafra.com.br/fornecedores/tn_29_1.jpg,2026-08-26 18:07:38,https://www.distribuidorasafra.com.br/fornecedores.php
