empresa,departamento,produto_original,produto_normalizado,codigo_produto,embalagem_original,quantidade,unidade,quantidade_base,unidade_base,preco,preco_publico,pagina_catalogo,link_produto,data_coleta,fonte,status_validacao
Casa Garcia Gourmet,Confeitaria,ACUCAR COL AMARELO 300G MIL CORES,ACUCAR COL AMARELO MIL CORES,9176,CX 12,300.0,G,300.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR COL AZUL 300G MIL CORES,ACUCAR COL AZUL MIL CORES,9185,CX 12,300.0,G,300.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR COL BRANCO 300G MIL CORES,ACUCAR COL BRANCO MIL CORES,9181,CX 12,300.0,G,300.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR COL ROSA 300G MIL CORES,ACUCAR COL ROSA MIL CORES,9177,CX 12,300.0,G,300.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR COL VERDE 300G MIL CORES,ACUCAR COL VERDE MIL CORES,9178,CX 12,300.0,G,300.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR COL VERMELHO 300G MIL CORES,ACUCAR COL VERMELHO MIL CORES,9179,CX 12,300.0,G,300.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR CONF 1KG SNOW SUGAR,ACUCAR CONF SNOW SUGAR,301,CX 10,1.0,KG,1000.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR CONF 500G SNOW SUGAR,ACUCAR CONF SNOW SUGAR,297,CX 20,500.0,G,500.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR CONF BIG MIX 1KG,ACUCAR CONF BIG MIX,299,CX 10,1.0,KG,1000.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR CRISTAL 1KG UNIAO,ACUCAR CRISTAL UNIAO,2770,CX 10,1.0,KG,1000.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR GELADO P/COBERTURAS 1KG,ACUCAR GELADO P COBERTURAS,302,CX 10,1.0,KG,1000.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR GELADO P/COBERTURAS 500G,ACUCAR GELADO P COBERTURAS,298,CX 06,500.0,G,500.0,G,,False,1,,2026-08-26 17:42:32,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ACUCAR IMPALPAVEL MIX 1KG,ACUCAR IMPALPAVEL MIX,5621,CX 10,1.0,KG,1000.0,G,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,AGAR-AGAR MIX 30G,AGAR AGAR MIX,5634,CX 06,30.0,G,30.0,G,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,"ALCOOL ETILICO DE CEREAIS 93,8 50ML FAB",ALCOOL ETILICO DE CEREAIS 93 8 FAB,6388,CX 30,50.0,ML,50.0,ML,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,"AMENDOIM TORRADO GRANULADO VABENE 1,05KG",AMENDOIM TORRADO GRANULADO VABENE,3970,CX 12,1.05,KG,1050.0,G,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,"AMENDOIM TORRADO METADES VABENE 1,05KG",AMENDOIM TORRADO METADES VABENE,3997,CX 12,1.05,KG,1050.0,G,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,AMIDO DE MILHO TECNUTRI 1KG,AMIDO DE MILHO TECNUTRI,6628,CX 10,1.0,KG,1000.0,G,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,AMIDO DE MILHO TECNUTRI 500G,AMIDO DE MILHO TECNUTRI,6619,CX 24,500.0,G,500.0,G,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,ANTIMOFO LIQ EXTRA PARA BOLO 5L,ANTIMOFO LIQ EXTRA PARA BOLO,2305,CX 04,5.0,L,5000.0,ML,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
Casa Garcia Gourmet,Confeitaria,AROMA ABACAXI LARECETTE 960ML,AROMA ABACAXI LARECETTE,435,CX 12,960.0,ML,960.0,ML,,False,2,,2026-08-26 17:42:33,https://casagarciafortaleza.com.br/index.php,VALIDO
