empresa,departamento,produto_original,produto_normalizado,codigo_produto,embalagem_original,quantidade,unidade,quantidade_base,unidade_base,preco,preco_publico,pagina_catalogo,link_produto,data_coleta,fonte,status_validacao
Fortali Distribuidora,Confeitaria,ESSENCIA CANELA ARCOLOR 30ML,ESSENCIA CANELA ARCOLOR 30ML,10000,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-canela-arcolor-30ml-10000-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSENCIA CEREJA ARCOLOR 30ML,ESSENCIA CEREJA ARCOLOR 30ML,10002,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-cereja-arcolor-30ml-10002-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSENCIA CHAMPAGNE ARCOLOR 30ML,ESSENCIA CHAMPAGNE ARCOLOR 30ML,10003,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-champagne-arcolor-30ml--10003-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSÊNCIA DE COCO ARCOLOR 30ML,ESSENCIA DE COCO ARCOLOR 30ML,10005,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-de-coco-arcolor-30ml-10005-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSENCIA ERVA DOCE ARCOLOR 30ML,ESSENCIA ERVA DOCE ARCOLOR 30ML,10007,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-erva-doce-arcolor-30ml-10007-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSENCIA FRAMBOESA ARCOLOR 30ML,ESSENCIA FRAMBOESA ARCOLOR 30ML,10008,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-framboesa-arcolor-30ml-10008-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSENCIA GROSELHA ARCOLOR 30ML,ESSENCIA GROSELHA ARCOLOR 30ML,10009,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-groselha-arcolor-30ml-10009-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSENCIA GUARANA ARCOLOR 30ML,ESSENCIA GUARANA ARCOLOR 30ML,10010,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-guarana-arcolor-30ml-10010-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSÊNCIA DE LEITE ARCOLOR 30ML,ESSENCIA DE LEITE ARCOLOR 30ML,10012,30ML,30.0,ML,30.0,ML,,Não,36,https://www.fortali.com.br/essencia-de-leite-arcolor-30ml-10012-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=36,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSÊNCIA DE LIMAO ARCOLOR 30ML,ESSENCIA DE LIMAO ARCOLOR 30ML,10013,30ML,30.0,ML,30.0,ML,,Não,20,https://www.fortali.com.br/essencia-de-limao-arcolor-30ml-10013-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=20,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSÊNCIA DE MANTEIGA ARCOLOR 30ML,ESSENCIA DE MANTEIGA ARCOLOR 30ML,10015,30ML,30.0,ML,30.0,ML,,Não,37,https://www.fortali.com.br/essencia-de-manteiga-arcolor-30ml-10015-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=37,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSÊNCIA DE MARACUJA ARCOLOR 30ML,ESSENCIA DE MARACUJA ARCOLOR 30ML,10016,30ML,30.0,ML,30.0,ML,,Não,20,https://www.fortali.com.br/essencia-de-maracuja-arcolor-30ml-10016-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=20,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSENCIA MARRASQUINO ARCOLOR 30ML,ESSENCIA MARRASQUINO ARCOLOR 30ML,10017,30ML,30.0,ML,30.0,ML,,Não,37,https://www.fortali.com.br/essencia-marrasquino-arcolor-30ml-10017-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=37,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSÊNCIA DE MEL ARCOLOR 30ML,ESSENCIA DE MEL ARCOLOR 30ML,10018,30ML,30.0,ML,30.0,ML,,Não,37,https://www.fortali.com.br/essencia-de-mel-arcolor-30ml-10018-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=37,Pronto para comparar
Fortali Distribuidora,Confeitaria,ESSÊNCIA DE MENTA ARCOLOR 30ML,ESSENCIA DE MENTA ARCOLOR 30ML,10019,30ML,30.0,ML,30.0,ML,,Não,20,https://www.fortali.com.br/essencia-de-menta-arcolor-30ml-10019-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=20,Pronto para comparar
