empresa,departamento,produto_original,codigo_produto,preco,preco_publico,data_coleta,fonte
Fortali Distribuidora,Confeitaria,LEITE CONDENSADO SEMIDESNATADO ITAMBE CAIXA 395G,1992,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,LEITE CONDENSADO SEMIDESNATADO ITALAC CAIXA 395G,7216,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,AÇÚCAR REFINADO ESPECIAL UNIÃO PACOTE 1KG,6805,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"RECH FORN CHOC AO LEITE CONF HARALD 1,01KG",23770,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,LEITE COND INTEGRAL CEMIL 8% TP 395G,37286,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,CHANTILLY MIX AMÉLIA VIGOR CAIXA 1KG,4522,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,LEITE COND INTEGRAL ITAMBE BAG 5KG,9942,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,CHANTILLY MIX SUPREME AMÉLIA VIGOR CAIXA 1L,11378,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,MISTURA LACTEA CONDENSADA MOCOCA TP 395G,18421,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"CHOC EM PO 50% SICAO PCT 1,01KG",15950,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,COBERTURA DE CHOCOLATE MEIO AMARGO CONFEITEIRO BARRA HARALD ...,24271,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,NUTELLA CREME DE AVELA COM CACAU BLD 3KG,11104,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"RECH FORN CHOC AO LEITE CONF POP HARALD 1,01KG",25021,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,LEITE CONDENSADO TRADICIONAL MOCA TETRAPAK 395G,12669,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,LEITE COND SEMIDESNATADO CCGL 395G,29193,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,LEITE CONDENSADO INTEGRAL ITALAC 395G,19202,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"NUTELLA CREME DE AVELÃ COM CACAU, 650G",6438,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,OVOMALTINE FLOCOS EXTRA CROCANTES 10MM AB BRASIL SCH 750G,8662,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"RECH FORN CONF BRANCO HARALD 1,01KG",23771,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"ACHOC NESCAU NESTLE 2,01KG",34507,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"COBERTURA BARRA BRANCO CONFEITEIRO HARALD 1,01KG",24368,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"COBERTURA CONFEITEIRO BLEND BARRA HARALD 1,01KG",24272,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,LEITE CONDENSADO SEMI DESNATADO PIRACANJUBA 395G,27585,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
Fortali Distribuidora,Confeitaria,"GRANULADO CONF CROC CHOC HARALD 1,01KG",30445,,Não,2026-08-18 12:33:58,https://www.fortali.com.br/confeitaria
