empresa,produto_original,codigo_produto,pagina_catalogo,data_catalogo,data_extracao,metodo_extracao,revisao_necessaria,fonte
Milk Distribuidora,BLUEBERRY,02,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BAUNILHA,109,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FRUTAS TROPICAIS,112,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,QUEIJO,114,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COOKIE LEITINHO,115,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TAPIOCA,116,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHICLETE,127,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,128,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,STARGEL 20KG,130,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BELGA,131,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITINHO,132,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PUDIM,134,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ABACATE,148,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CUPUAÇÚ,149,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GOIABA,150,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE PREMIUM,156,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,IOGURTE ESPECIAL,171,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITE CONDENSADO,21,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO STAR,22,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BRANCO,23,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GRAVIOLA ESPECIAL,24,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,AZULATO,25,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,UVA,26,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NATA GUARANI,27,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CRISTALIZADO UVA,28,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BAUNILHA BRANCA,31,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ABACAXI,38,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ABACAXI HAVAI,39,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,STARGEL KR 10KG,40,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BANANA,41,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRIGADEIRO ESPECIAL,42,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,43,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BRANCO,44,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COCO,45,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COCO,46,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME VANILA,47,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,DOCE DE LEITE,48,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GRAVIOLA,49,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,IOGURTE MORANGO,50,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITE CONDENSADO,51,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MARACUJÁ,52,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MILHO VERDE,53,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,54,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO STAR,55,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NATA,56,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TORTA DE LIMÃO,57,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,STARGEL 10KG,58,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CAPPUCCINO,XX,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME DE AVELÃ • 4 Kg,099,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,100,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,101,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOC MEIO AMARGO,102,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MORANGO • 4,5 Kg",103,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
