empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte
Milk Distribuidora,BLUEBERRY,02,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BAUNILHA,109,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FRUTAS TROPICAIS,112,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,QUEIJO,114,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COOKIE LEITINHO,115,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TAPIOCA,116,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHICLETE,127,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,128,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,STARGEL 20KG,130,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BELGA,131,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITINHO,132,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PUDIM,134,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ABACATE,148,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CUPUAÇÚ,149,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GOIABA,150,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE PREMIUM,156,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,IOGURTE ESPECIAL,171,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITE CONDENSADO,21,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO STAR,22,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BRANCO,23,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GRAVIOLA ESPECIAL,24,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,AZULATO,25,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,UVA,26,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NATA GUARANI,27,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CRISTALIZADO UVA,28,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BAUNILHA BRANCA,31,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ABACAXI,38,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ABACAXI HAVAI,39,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,STARGEL KR 10KG,40,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BANANA,41,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRIGADEIRO ESPECIAL,42,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,43,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BRANCO,44,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COCO,45,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COCO,46,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME VANILA,47,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,DOCE DE LEITE,48,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
