empresa,produto_candidato,codigo_produto,pagina_catalogo,metodo_extracao,revisao_necessaria,fonte
Milk Distribuidora,CHOCOCANDY PASTILHA COLORIDA 500 G,94,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DISQUETE CHOCOLATE • 1,010 KG",95,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COLORETI MINI SORTIDO • 500G,175,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"GRANULADO ESC HARALD MACIO • 1,050 KG cód 14 CROCANTE • 1,050 KG",121,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GRANULADO TRDICIONAL KERRY • 1 KG,98,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"GRANULADO CHOCOLATE DORI • 1,010 KG",173,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOC. CHOC. MEIO,12,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRANCO • 5 KG AMARGO • 5 KG,13,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOC. CHOC. MEIO,271,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRANCO • 5 KG AMARGO • 5 KG,272,4,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BIG CEREAL CROCANTE CHOCOLATE 500 G,123,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BIG CEREAL CHOC. BRANCO 500 G,273,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BIG CEREAL BRANCO/PRETO 500 G,293,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MINI CEREAL CROCANTE P BRANCO/PRETO 500 G,292,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MINI CEREAL CROCANTE M BRANCO/PRETO 500 G,122,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GRANULADO MACIO COLORIDO,291,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COLORETI MINI BALL MISTO 500 G,177,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COLORETI BALL 500 G,179,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COB GTS MEIO AMARGO 1,050 KG",161,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COB. CHIPSHOW AVELÃ TOP 1,050 KG",168,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COB. CHIPSHOW BRANCO TOP 1,050 KG",169,5,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FLOCOS DE ARROZ A GRANEL,110,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FLOCOS DE ARROZ 400 G,37,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,UVA PASSA CAIXA 10 KG,163,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"PAÇOQUINHA ROLHA POTE 1,25 KG",96,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PAÇOQUINHA TUBITOS CAIXA,176,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PAÇOQUINHA TUBITOS POTE 750 G,178,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,FLOCOS CROCANTES OVOMALTINE 750 G,118,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"OVOMALTINE CREME CROCANTE 2,10 KG",XX,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NUTELLA COM AVELÃ 650 G,172,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GOMETS GOMA SINO 1 KG,93,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE EM PÓ SOLÚVEL 50% CACAU,124,6,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME DE CHANTILLY,144,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BEBIDA LÁCTEA VIGOR CHOCOLATE,289,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BEBIDA LÁCTEA VIGOR BAUNILHA,281,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME CULINÁRIO BRIGATTA,282,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,PASTA DE AMENDOIM NUT • 4KG,286,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,AMENDOIM BANDA NUT • 1KG,288,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,AMENDOIM GRANULADOS NUT,287,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"RECHEIO COBERTURA CHOCOLATE • 1,05 KG",276,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,BRIGADEIRO DE COLHER ALISPEC • 1 KG,266,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"COBERTURA CHIPSHOW CHOCOLATE AO LEITE 2,5 KG",06,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CACAU PROCESSADO BENSDORP BARRY 5 KG,125,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CACAU EM PÓ ALCALINO BARRY 25 KG,05,7,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"CHOCOLATE EM PÓ MELKEN 50% 1,050 KG",15,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GANACHE AVELÃ MELKEN 1 KG,167,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GANACHE MEIO AMARGO MELKEN 1 KG,166,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DOCE DE SORO DE LEITE COM CHOC. 9,8KG",04,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DOCE DE SORO DE LEITE TRADICIONAL 4,8 KG",09,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"DOCE DE LEITE PARA CONFEITARIA AUREA 4,5 KG",154,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"CERELIS BD 4,5 KG",142,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"Preparados • 1,8 KG",32,8,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MORANGO 4,1 KG ABACAXI 4,1 KG ABACAXI AO VINHO 4,1 KG FRUTAS VERMELHAS 4,1 KG",174,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,REVISAR MANUALMENTE,113,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,REVISAR MANUALMENTE,265,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,REVISAR MANUALMENTE,159,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,REVISAR MANUALMENTE,08,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITE CONDENSADO PURELAC 5 KG,282,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"CREME DE GOIABA 4,8 KG",97,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,OLEO DE PALMISTE REFINADO CAIXA,03,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,OLEO DE PALMISTE REFINADO BALDE,117,9,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GLUCODRY 40 25 KG,33,10,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GLUCOGILL 40/82 25 KG,34,10,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,GORDURA DE PALMA 370B,257,10,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,Kerrylac 800i,120,10,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COPO BAMBA ESPECIAL,261,11,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COPO BIJU,262,11,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,COPO BISCOITO,290,11,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,ROLINHO BIJU,279,11,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CASCÃO,283,11,coordenadas_pdf,Sim,dados\catalogos\catalogo_milk_2022.pdf
