empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao
Milk Distribuidora,BLUEBERRY,02,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BLUEBERRY,Embalagem não identificada
Milk Distribuidora,BAUNILHA,109,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BAUNILHA,Embalagem não identificada
Milk Distribuidora,FRUTAS TROPICAIS,112,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,FRUTAS TROPICAIS,Embalagem não identificada
Milk Distribuidora,QUEIJO,114,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,QUEIJO,Embalagem não identificada
Milk Distribuidora,COOKIE LEITINHO,115,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COOKIE LEITINHO,Embalagem não identificada
Milk Distribuidora,TAPIOCA,116,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,TAPIOCA,Embalagem não identificada
Milk Distribuidora,CHICLETE,127,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHICLETE,Embalagem não identificada
Milk Distribuidora,MORANGO,128,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO,Embalagem não identificada
Milk Distribuidora,STARGEL 20KG,130,Sim,2,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,20.0,KG,20.0,KG,STARGEL,
Milk Distribuidora,CHOCOLATE BELGA,131,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE BELGA,Embalagem não identificada
Milk Distribuidora,LEITINHO,132,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,LEITINHO,Embalagem não identificada
Milk Distribuidora,PUDIM,134,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,PUDIM,Embalagem não identificada
Milk Distribuidora,ABACATE,148,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,ABACATE,Embalagem não identificada
Milk Distribuidora,CUPUAÇÚ,149,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CUPUAÇÚ,Embalagem não identificada
Milk Distribuidora,GOIABA,150,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,GOIABA,Embalagem não identificada
Milk Distribuidora,CHOCOLATE PREMIUM,156,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE PREMIUM,Embalagem não identificada
Milk Distribuidora,IOGURTE ESPECIAL,171,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,IOGURTE ESPECIAL,Embalagem não identificada
Milk Distribuidora,LEITE CONDENSADO,21,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,LEITE CONDENSADO,Embalagem não identificada
Milk Distribuidora,MORANGO STAR,22,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO STAR,Embalagem não identificada
Milk Distribuidora,CHOCOLATE BRANCO,23,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE BRANCO,Embalagem não identificada
Milk Distribuidora,GRAVIOLA ESPECIAL,24,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,GRAVIOLA ESPECIAL,Embalagem não identificada
Milk Distribuidora,AZULATO,25,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,AZULATO,Embalagem não identificada
Milk Distribuidora,UVA,26,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,UVA,Embalagem não identificada
Milk Distribuidora,NATA GUARANI,27,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,NATA GUARANI,Embalagem não identificada
Milk Distribuidora,CRISTALIZADO UVA,28,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CRISTALIZADO UVA,Embalagem não identificada
Milk Distribuidora,BAUNILHA BRANCA,31,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BAUNILHA BRANCA,Embalagem não identificada
Milk Distribuidora,ABACAXI,38,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,ABACAXI,Embalagem não identificada
Milk Distribuidora,ABACAXI HAVAI,39,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,ABACAXI HAVAI,Embalagem não identificada
Milk Distribuidora,STARGEL KR 10KG,40,Sim,2,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,10.0,KG,10.0,KG,STARGEL KR,
Milk Distribuidora,BANANA,41,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BANANA,Embalagem não identificada
Milk Distribuidora,BRIGADEIRO ESPECIAL,42,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BRIGADEIRO ESPECIAL,Embalagem não identificada
Milk Distribuidora,CHOCOLATE,43,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE,Embalagem não identificada
Milk Distribuidora,CHOCOLATE BRANCO,44,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE BRANCO,Embalagem não identificada
Milk Distribuidora,COCO,45,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COCO,Embalagem não identificada
Milk Distribuidora,COCO,46,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COCO,Embalagem não identificada
Milk Distribuidora,CREME VANILA,47,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CREME VANILA,Embalagem não identificada
Milk Distribuidora,DOCE DE LEITE,48,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,DOCE DE LEITE,Embalagem não identificada
Milk Distribuidora,GRAVIOLA,49,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,GRAVIOLA,Embalagem não identificada
Milk Distribuidora,IOGURTE MORANGO,50,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,IOGURTE MORANGO,Embalagem não identificada
Milk Distribuidora,LEITE CONDENSADO,51,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,LEITE CONDENSADO,Embalagem não identificada
Milk Distribuidora,MARACUJÁ,52,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MARACUJÁ,Embalagem não identificada
Milk Distribuidora,MILHO VERDE,53,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MILHO VERDE,Embalagem não identificada
Milk Distribuidora,MORANGO,54,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO,Embalagem não identificada
Milk Distribuidora,MORANGO STAR,55,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO STAR,Embalagem não identificada
Milk Distribuidora,NATA,56,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,NATA,Embalagem não identificada
