empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao,codigo_produto_original,motivo_codigo,id_registro,status_validacao
Milk Distribuidora,BLUEBERRY,02,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BLUEBERRY,Embalagem não identificada,02,CODIGO_VALIDO,MILK_COD_02,VALIDO
Milk Distribuidora,BAUNILHA,109,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BAUNILHA,Embalagem não identificada,109,CODIGO_VALIDO,MILK_COD_109,VALIDO
Milk Distribuidora,FRUTAS TROPICAIS,112,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,FRUTAS TROPICAIS,Embalagem não identificada,112,CODIGO_VALIDO,MILK_COD_112,VALIDO
Milk Distribuidora,QUEIJO,114,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,QUEIJO,Embalagem não identificada,114,CODIGO_VALIDO,MILK_COD_114,VALIDO
Milk Distribuidora,COOKIE LEITINHO,115,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COOKIE LEITINHO,Embalagem não identificada,115,CODIGO_VALIDO,MILK_COD_115,VALIDO
Milk Distribuidora,TAPIOCA,116,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,TAPIOCA,Embalagem não identificada,116,CODIGO_VALIDO,MILK_COD_116,VALIDO
Milk Distribuidora,CHICLETE,127,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHICLETE,Embalagem não identificada,127,CODIGO_VALIDO,MILK_COD_127,VALIDO
Milk Distribuidora,MORANGO,128,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,MORANGO,Embalagem não identificada,128,CODIGO_VALIDO,MILK_COD_128,VALIDO
Milk Distribuidora,STARGEL 20KG,130,True,2,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,20.0,KG,20.0,KG,STARGEL,,130,CODIGO_VALIDO,MILK_COD_130,VALIDO
Milk Distribuidora,CHOCOLATE BELGA,131,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE BELGA,Embalagem não identificada,131,CODIGO_VALIDO,MILK_COD_131,VALIDO
Milk Distribuidora,LEITINHO,132,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,LEITINHO,Embalagem não identificada,132,CODIGO_VALIDO,MILK_COD_132,VALIDO
Milk Distribuidora,PUDIM,134,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,PUDIM,Embalagem não identificada,134,CODIGO_VALIDO,MILK_COD_134,VALIDO
Milk Distribuidora,ABACATE,148,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,ABACATE,Embalagem não identificada,148,CODIGO_VALIDO,MILK_COD_148,VALIDO
Milk Distribuidora,CUPUAÇÚ,149,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CUPUAÇÚ,Embalagem não identificada,149,CODIGO_VALIDO,MILK_COD_149,VALIDO
Milk Distribuidora,GOIABA,150,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,GOIABA,Embalagem não identificada,150,CODIGO_VALIDO,MILK_COD_150,VALIDO
Milk Distribuidora,CHOCOLATE PREMIUM,156,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE PREMIUM,Embalagem não identificada,156,CODIGO_VALIDO,MILK_COD_156,VALIDO
Milk Distribuidora,IOGURTE ESPECIAL,171,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,IOGURTE ESPECIAL,Embalagem não identificada,171,CODIGO_VALIDO,MILK_COD_171,VALIDO
Milk Distribuidora,LEITE CONDENSADO,21,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,LEITE CONDENSADO,Embalagem não identificada,21,CODIGO_VALIDO,MILK_COD_21,VALIDO
